query_id,subject_id,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qlen,slen,qcovs,significance
631879,2354235,64.079,2241,761,19,3646,5873,23,2232,0.0,2886.0,5875,2771,45.0,MEDIUM (likely homolog)
631889,2383842,39.573,2201,1127,56,1186,3291,1729,3821,0.0,1107.0,4454,5654,72.0,MEDIUM (likely homolog)
631892,3137543,38.433,1902,1025,57,3669,5518,2818,4625,0.0,946.0,7020,5457,84.0,MEDIUM (likely homolog)
632047,2587457,31.305,1479,866,48,19,1429,691,2087,4.17e-123,437.0,2567,4483,55.0,MEDIUM (likely homolog)
632054,2383842,45.035,2256,1074,51,2210,4402,1696,3848,0.0,1469.0,4905,5654,76.0,MEDIUM (likely homolog)
632068,2383842,43.585,2198,1100,46,2446,4574,1726,3852,0.0,1400.0,12937,5654,82.0,MEDIUM (likely homolog)
632072,2383842,43.297,2208,1112,41,17307,19446,1724,3859,0.0,1476.0,21166,5654,91.0,MEDIUM (likely homolog)
632082,2383842,40.206,2818,1438,66,3972,6689,1706,4376,0.0,1548.0,7319,5654,86.0,MEDIUM (likely homolog)
632088,2383842,42.699,3260,1667,64,12688,15838,1700,4867,0.0,2034.0,20900,5654,89.0,MEDIUM (likely homolog)
632099,2383842,40.216,2688,1384,60,77,2676,1697,4249,0.0,1472.0,4283,5654,86.0,MEDIUM (likely homolog)
632232,2383842,39.909,1759,903,43,2511,4218,2201,3856,0.0,964.0,4798,5654,83.0,MEDIUM (likely homolog)
