query_id,subject_id,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qlen,slen,qcovs,significance
631879,1400151,28.571,469,266,15,2907,3337,680,1117,3.06e-23,110.0,5875,2477,19.0,LOW (possible homolog)
631889,1396073,40.08,2490,1292,66,920,3314,14001,16385,0.0,1232.0,4454,26464,67.0,MEDIUM (likely homolog)
631892,956866,41.966,3286,1699,77,3414,6623,5897,9050,0.0,1828.0,7020,12778,93.0,MEDIUM (likely homolog)
632047,956866,33.583,533,318,11,21,533,12243,12759,1.36e-62,239.0,2567,12778,37.0,LOW (possible homolog)
632054,956866,56.384,2185,866,28,2222,4378,10635,12760,0.0,2082.0,4905,12778,77.0,HIGH (likely ortholog)
632068,1039888,53.725,11570,4915,186,46,11425,42,11362,0.0,10423.0,12937,12517,99.0,HIGH (likely ortholog)
632072,1396073,60.486,19588,6946,236,133,19444,3384,22453,0.0,21000.0,21166,26464,96.0,HIGH (likely ortholog)
632082,1457521,59.109,6642,2161,94,730,7316,327,6468,0.0,6618.0,7319,6470,93.0,HIGH (likely ortholog)
632088,1396073,59.574,4042,1523,45,10846,14833,20070,24054,0.0,4258.0,20900,26464,69.0,HIGH (likely ortholog)
632099,1452216,49.042,4435,1720,91,59,4282,199,4304,0.0,3287.0,4283,4304,99.0,MEDIUM (likely homolog)
632232,1396073,56.534,1737,664,27,2498,4216,20786,22449,0.0,1704.0,4798,26464,85.0,HIGH (likely ortholog)
