query_id,subject_id,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qlen,slen,qcovs,significance
631879,21574,54.545,3421,1310,55,1998,5346,1150,4397,0.0,3500.0,5875,6388,90.0,HIGH (likely ortholog)
631889,17869,37.413,2598,1382,67,776,3293,2149,4582,0.0,1139.0,4454,45212,73.0,LOW (possible homolog)
631892,11800,38.11,4382,2370,103,2370,6622,7823,11991,0.0,2155.0,7020,24439,93.0,LOW (possible homolog)
632047,15057,46.343,1627,791,28,13,1588,2247,3842,0.0,1226.0,2567,4525,78.0,LOW (possible homolog)
632054,8982,38.506,2784,1403,83,1698,4367,12605,15193,0.0,1345.0,4905,30685,78.0,LOW (possible homolog)
632068,11800,41.93,2466,1275,45,2164,4553,10089,12473,0.0,1504.0,12937,24439,90.0,LOW (possible homolog)
632072,11800,38.591,3804,2063,87,12545,16205,8803,12476,0.0,2204.0,21166,24439,96.0,LOW (possible homolog)
632082,17869,38.562,3060,1603,73,3709,6689,2262,5123,0.0,1571.0,7319,45212,84.0,LOW (possible homolog)
632088,17869,41.736,5978,3046,146,12413,18210,2245,7965,0.0,3279.0,20900,45212,72.0,LOW (possible homolog)
632099,17869,38.123,2770,1462,70,99,2808,2534,5111,0.0,1343.0,4283,45212,88.0,LOW (possible homolog)
632232,17869,39.811,1693,880,44,2561,4224,3034,4616,0.0,920.0,4798,45212,86.0,LOW (possible homolog)
