query_id,subject_id,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qlen,slen,qcovs,significance
631879,924779,98.032,3405,66,1,1765,5169,1,3404,0.0,6844.0,5875,3414,72.0,MEDIUM (likely homolog)
631889,3320429,91.548,1609,120,6,1696,3297,129,1728,0.0,2480.0,4454,7017,77.0,MEDIUM (likely homolog)
631892,3320429,96.474,6976,226,10,63,7019,43,7017,0.0,12754.0,7020,7017,99.0,HIGH (likely ortholog)
632047,3980767,96.192,1812,65,2,653,2460,1,1812,0.0,3509.0,2567,1884,70.0,MEDIUM (likely homolog)
632054,4994359,80.671,5070,217,55,1,4899,1,4478,0.0,6802.0,4905,4478,99.0,HIGH (likely ortholog)
632068,3483524,84.09,6210,867,34,822,6984,140,6275,0.0,9004.0,12937,13213,81.0,HIGH (likely ortholog)
632072,3310508,96.311,21037,694,20,1,20966,1,21026,0.0,38330.0,21166,21030,99.0,HIGH (likely ortholog)
632082,5377763,94.636,6600,293,7,735,7318,5039,11593,0.0,11173.0,7319,11593,99.0,HIGH (likely ortholog)
632088,5022040,82.39,4009,667,20,6037,10029,72,4057,0.0,5892.0,20900,5017,86.0,HIGH (likely ortholog)
632099,4829068,92.38,4344,147,18,1,4282,1,4222,0.0,7142.0,4283,4222,99.0,HIGH (likely ortholog)
632232,5018013,85.548,4816,571,28,26,4797,28,4762,0.0,7113.0,4798,4762,99.0,HIGH (likely ortholog)
