query_id,subject_id,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qlen,slen,qcovs,significance
631879,260,25.586,981,546,36,452,1386,447,1289,3.53e-42,173.0,5875,3666,30.0,LOW (possible homolog)
631889,10284,40.782,1714,848,47,1649,3292,1,1617,0.0,847.0,4454,3179,67.0,MEDIUM (likely homolog)
631892,10284,42.237,1681,818,42,150,1764,45,1638,0.0,892.0,7020,3179,92.0,MEDIUM (likely homolog)
632047,260,28.691,955,568,28,112,998,447,1356,1.02e-74,279.0,2567,3666,42.0,LOW (possible homolog)
632054,10284,41.691,1691,850,42,2738,4367,1,1616,0.0,941.0,4905,3179,73.0,MEDIUM (likely homolog)
632068,10284,41.837,1666,863,39,2932,4542,1,1615,0.0,892.0,12937,3179,89.0,MEDIUM (likely homolog)
632072,10284,40.979,1696,890,34,17791,19441,1,1630,0.0,978.0,21166,3179,93.0,MEDIUM (likely homolog)
632082,10284,42.28,1684,863,39,2860,4499,1,1619,0.0,972.0,7319,3179,81.0,MEDIUM (likely homolog)
632088,10284,41.569,1874,923,42,13192,14977,1,1790,0.0,1015.0,20900,3179,66.0,MEDIUM (likely homolog)
632099,10284,37.307,1879,1026,48,599,2411,1,1793,0.0,889.0,4283,3179,80.0,MEDIUM (likely homolog)
632232,10284,39.226,1680,893,37,2577,4215,37,1629,0.0,841.0,4798,3179,75.0,MEDIUM (likely homolog)
