query_id,subject_id,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qlen,slen,qcovs,significance
631879,31025,72.987,559,99,3,443,992,155,670,0.0,858.0,5875,688,28.0,LOW (possible homolog)
631889,20676,43.758,2363,1112,58,1040,3323,2,2226,0.0,1176.0,4454,4013,66.0,MEDIUM (likely homolog)
631892,20676,47.697,1824,803,38,4840,6623,5,1717,0.0,1056.0,7020,4013,90.0,MEDIUM (likely homolog)
632047,21665,35.172,580,292,17,21,559,400,936,9.09e-65,240.0,2567,959,27.0,LOW (possible homolog)
632054,20676,48.888,2203,976,48,2220,4386,124,2212,0.0,1416.0,4905,4013,73.0,MEDIUM (likely homolog)
632068,20676,48.547,2546,1150,63,3902,6391,5,2446,0.0,1579.0,12937,4013,75.0,MEDIUM (likely homolog)
632072,20676,50.434,2647,1128,71,3309,5903,5,2519,0.0,1726.0,21166,4013,86.0,HIGH (likely ortholog)
632082,20676,48.207,2649,1183,67,2228,4829,5,2511,0.0,1684.0,7319,4013,78.0,MEDIUM (likely homolog)
632088,20676,47.919,2619,1203,60,10974,13531,5,2523,0.0,1591.0,20900,4013,61.0,MEDIUM (likely homolog)
632099,20676,46.7,2197,1039,45,86,2249,125,2222,0.0,1371.0,4283,4013,72.0,MEDIUM (likely homolog)
632232,20676,42.423,1742,886,39,2498,4216,577,2224,0.0,914.0,4798,4013,73.0,MEDIUM (likely homolog)
