query_id	subject_id	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qcovs	significance	genome
100944	2516108.0	25.562	356.0	227.0	9.0	2.0	346.0	31.0	359.0	3.52e-16	79.3	392	397.0	88.0	LOW (possible homolog)	Platy1217_1
468588	2516108.0	26.113	337.0	210.0	7.0	29.0	343.0	29.0	348.0	8.26e-22	95.9	398	397.0	79.0	LOW (possible homolog)	Platy1217_1
457922	2516108.0	24.595	309.0	171.0	9.0	79.0	332.0	35.0	336.0	2.47e-11	63.9	332	397.0	77.0	LOW (possible homolog)	Platy1217_1
438862	3108807.0	27.66	235.0	140.0	7.0	258.0	486.0	49.0	259.0	1.62e-18	85.5	570	259.0	40.0	LOW (possible homolog)	Platy1217_1
457951	2379660.0	59.601	401.0	119.0	5.0	1.0	362.0	1.0	397.0	1.35e-135	392.0	371	397.0	98.0	HIGH (likely ortholog)	Platy1217_1
100944	4757196.0	45.455	385.0	180.0	4.0	1.0	384.0	30.0	385.0	4.04e-109	325.0	392	390.0	98.0	MEDIUM (likely homolog)	Ochro3194_1
468588	4757196.0	91.206	398.0	26.0	2.0	1.0	397.0	1.0	390.0	0.0	700.0	398	390.0	99.0	VERY HIGH (likely ortholog)	Ochro3194_1
457922	4757196.0	84.52	323.0	15.0	2.0	45.0	332.0	1.0	323.0	0.0	543.0	332	390.0	87.0	VERY HIGH (likely ortholog)	Ochro3194_1
438862	3956156.0	96.497	571.0	18.0	1.0	1.0	569.0	3.0	573.0	0.0	1135.0	570	574.0	99.0	VERY HIGH (likely ortholog)	Ochro3194_1
457951	3991966.0	89.409	406.0	7.0	1.0	1.0	370.0	1.0	406.0	0.0	718.0	371	406.0	99.0	VERY HIGH (likely ortholog)	Ochro3194_1
100944	16473.0	32.743	113.0	69.0	2.0	252.0	364.0	959.0	1064.0	2.33e-11	65.5	392	1095.0	29.0	LOW (possible homolog)	Chrpa1_1
468588	16473.0	27.64	322.0	205.0	9.0	29.0	338.0	731.0	1036.0	3.7799999999999994e-23	101.0	398	1095.0	78.0	LOW (possible homolog)	Chrpa1_1
457922	16473.0	25.217	230.0	132.0	4.0	141.0	332.0	802.0	1029.0	4.04e-12	67.0	332	1095.0	58.0	LOW (possible homolog)	Chrpa1_1
438862												570		0.0	NOT FOUND	Chrpa1_1
457951												371		0.0	NOT FOUND	Chrpa1_1
100944	387156.0	53.005	183.0	81.0	3.0	201.0	378.0	135.0	317.0	1.05e-56	191.0	392	418.0	64.0	HIGH (likely ortholog)	Gepoce1
468588	387156.0	67.662	402.0	51.0	6.0	1.0	397.0	1.0	328.0	2.5199999999999998e-174	492.0	398	418.0	99.0	HIGH (likely ortholog)	Gepoce1
457922	387156.0	71.986	282.0	36.0	4.0	45.0	320.0	1.0	245.0	1.33e-131	381.0	332	418.0	83.0	VERY HIGH (likely ortholog)	Gepoce1
438862	396255.0	91.549	568.0	24.0	2.0	1.0	567.0	15.0	559.0	0.0	1053.0	570	665.0	99.0	VERY HIGH (likely ortholog)	Gepoce1
457951	377293.0	90.541	370.0	5.0	1.0	1.0	370.0	1.0	340.0	0.0	665.0	371	340.0	99.0	VERY HIGH (likely ortholog)	Gepoce1
100944	1365933.0	45.833	384.0	179.0	3.0	1.0	384.0	26.0	380.0	4.9000000000000005e-117	345.0	392	382.0	98.0	MEDIUM (likely homolog)	IsochDm2_1
468588	1365933.0	67.259	394.0	115.0	5.0	1.0	393.0	1.0	381.0	0.0	513.0	398	382.0	99.0	HIGH (likely ortholog)	IsochDm2_1
457922	1365933.0	60.991	323.0	86.0	5.0	45.0	332.0	1.0	318.0	1.31e-138	397.0	332	382.0	87.0	HIGH (likely ortholog)	IsochDm2_1
438862	1400433.0	57.117	562.0	219.0	9.0	9.0	560.0	18.0	567.0	0.0	611.0	570	567.0	97.0	HIGH (likely ortholog)	IsochDm2_1
457951	1319619.0	36.29	372.0	211.0	8.0	9.0	363.0	40.0	402.0	5.74e-53	180.0	371	413.0	96.0	MEDIUM (likely homolog)	IsochDm2_1
100944	174744.0	36.585	82.0	51.0	1.0	265.0	346.0	230.0	310.0	8.51e-10	58.9	392	353.0	21.0	LOW (possible homolog)	Chrsp_1
468588	174744.0	26.032	315.0	189.0	9.0	29.0	338.0	19.0	294.0	1.88e-18	85.1	398	353.0	78.0	LOW (possible homolog)	Chrsp_1
457922	174744.0	22.742	299.0	162.0	9.0	73.0	332.0	19.0	287.0	1.33e-07	51.6	332	353.0	78.0	LOW (possible homolog)	Chrsp_1
438862												570		0.0	NOT FOUND	Chrsp_1
457951												371		0.0	NOT FOUND	Chrsp_1
