query_id,subject_id,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qlen,slen,qcovs,significance
631879,393287,92.982,4332,145,13,1598,5874,722,4949,0.0,8141.0,5875,4949,84.0,VERY HIGH (likely ortholog)
631889,394838,96.343,1586,56,2,100,1684,30,1614,0.0,2942.0,4454,1642,55.0,MEDIUM (likely homolog)
631892,395942,42.221,1639,821,40,149,1746,1394,2947,0.0,898.0,7020,4739,91.0,MEDIUM (likely homolog)
632047,373993,95.451,2484,77,3,13,2460,1543,4026,0.0,4746.0,2567,4098,95.0,VERY HIGH (likely ortholog)
632054,381273,80.891,3883,460,37,1100,4899,452,4135,0.0,5239.0,4905,4135,88.0,VERY HIGH (likely ortholog)
632068,379370,87.335,2124,141,12,7282,9394,1,2007,0.0,3397.0,12937,2012,54.0,MEDIUM (likely homolog)
632072,395942,64.916,3942,1244,40,6673,10562,877,4731,0.0,4642.0,21166,4739,93.0,HIGH (likely ortholog)
632082,378746,86.346,1809,97,9,4071,5874,1400,3063,0.0,2983.0,7319,3088,79.0,HIGH (likely ortholog)
632088,365468,59.478,2184,771,28,12693,14832,43,2156,0.0,2162.0,20900,4176,64.0,HIGH (likely ortholog)
632099,365468,93.183,2758,117,6,42,2790,1,2696,0.0,4514.0,4283,4176,87.0,VERY HIGH (likely ortholog)
632232,365468,59.025,1662,616,23,2574,4215,540,2156,0.0,1632.0,4798,4176,86.0,HIGH (likely ortholog)
