query_id	subject_id	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qcovs	significance	genome
455269	781838.0	97.265	841.0	23.0	0.0	1.0	841.0	1862.0	2702.0	0.0	1624.0	1297	3318.0	99.0	HIGH (likely ortholog)	Ochro3194_1
452783	781838.0	98.429	191.0	3.0	0.0	179.0	369.0	3126.0	3316.0	2.89e-120	383.0	372	3318.0	51.0	MEDIUM (likely homolog)	Ochro3194_1
455269	15270.0	33.006	815.0	403.0	24.0	15.0	816.0	577.0	1261.0	1.4200000000000001e-56	215.0	1297	1269.0	62.0	LOW (possible homolog)	Chrpa1_1
452783												372		0.0	NOT FOUND	Chrpa1_1
455269	378747.0	92.494	786.0	22.0	1.0	56.0	841.0	1.0	749.0	0.0	1347.0	1297	1440.0	95.0	HIGH (likely ortholog)	Gepoce1
452783	378747.0	98.324	179.0	3.0	0.0	179.0	357.0	1173.0	1351.0	3.26e-112	357.0	372	1440.0	48.0	LOW (possible homolog)	Gepoce1
455269	1457521.0	48.836	1460.0	469.0	23.0	1.0	1294.0	5121.0	6468.0	0.0	1141.0	1297	6470.0	99.0	LOW (possible homolog)	IsochDm2_1
452783	1457521.0	65.445	191.0	64.0	2.0	179.0	369.0	6280.0	6468.0	1.45e-76	256.0	372	6470.0	51.0	MEDIUM (likely homolog)	IsochDm2_1
455269	172033.0	46.957	230.0	121.0	1.0	1.0	229.0	62.0	291.0	8.529999999999999e-48	182.0	1297	695.0	18.0	VERY LOW	Chrsp_1
452783												372		0.0	NOT FOUND	Chrsp_1
455269	31749.0	41.734	865.0	428.0	22.0	1.0	829.0	221.0	1045.0	2.48e-120	405.0	1297	1259.0	64.0	LOW (possible homolog)	Phaglo1
452783												372		0.0	NOT FOUND	Phaglo1
455269	11800.0	37.587	862.0	439.0	25.0	1.0	828.0	2054.0	2850.0	4.4e-117	405.0	1297	24439.0	68.0	LOW (possible homolog)	Pparv12B1_1_1
452783	8982.0	38.798	183.0	102.0	3.0	179.0	359.0	30499.0	30673.0	1.13e-21	97.1	372	30685.0	49.0	LOW (possible homolog)	Pparv12B1_1_1
455269	80667.0	58.161	533.0	136.0	3.0	849.0	1294.0	533.0	1065.0	0.0	628.0	1297	1067.0	61.0	MEDIUM (likely homolog)	Isogal1
452783	80667.0	66.146	192.0	63.0	2.0	179.0	370.0	877.0	1066.0	4.6700000000000004e-79	261.0	372	1067.0	52.0	MEDIUM (likely homolog)	Isogal1
