query_id,subject_id,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qlen,slen,qcovs,significance
631879,172598,25.911,988,534,36,452,1386,9,851,2.91e-43,176.0,5875,3228,26.0,LOW (possible homolog)
631889,183074,45.714,455,216,7,2793,3247,52,475,1.52e-86,301.0,4454,760,31.0,LOW (possible homolog)
631892,183074,48.23,452,207,8,4986,5437,52,476,7.19e-93,321.0,7020,760,32.0,LOW (possible homolog)
632047,172598,28.796,955,567,28,112,998,9,918,5.9e-76,282.0,2567,3228,42.0,LOW (possible homolog)
632054,183074,47.193,481,234,8,1663,2142,18,479,7.35e-94,323.0,4905,760,34.0,LOW (possible homolog)
632068,171094,53.613,429,174,8,8682,9096,1,418,3.82e-122,394.0,12937,419,23.0,LOW (possible homolog)
632072,171094,47.17,424,210,5,18922,19337,1,418,1.16e-97,324.0,21166,419,26.0,LOW (possible homolog)
632082,171094,44.418,421,225,4,759,1173,1,418,6.49e-90,300.0,7319,419,23.0,LOW (possible homolog)
632088,180511,50.0,454,203,7,9520,9950,7,459,7.77e-133,431.0,20900,543,9.0,LOW (possible homolog)
632099,171094,44.286,420,221,5,1743,2151,1,418,5.91e-91,303.0,4283,419,22.0,LOW (possible homolog)
632232,171094,45.327,428,217,6,1502,1922,1,418,7.71e-88,294.0,4798,419,24.0,LOW (possible homolog)
