query_id	subject_id	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qcovs	significance	genome
631879	924779	98.032	3405	66	1	1765	5169	1	3404	0.0	6844.0	5875	3414	72.0	MEDIUM (likely homolog)	Ochro3194_1
631889	3320429	91.548	1609	120	6	1696	3297	129	1728	0.0	2480.0	4454	7017	77.0	MEDIUM (likely homolog)	Ochro3194_1
631892	3320429	96.474	6976	226	10	63	7019	43	7017	0.0	12754.0	7020	7017	99.0	HIGH (likely ortholog)	Ochro3194_1
632047	3980767	96.192	1812	65	2	653	2460	1	1812	0.0	3509.0	2567	1884	70.0	MEDIUM (likely homolog)	Ochro3194_1
632054	4994359	80.671	5070	217	55	1	4899	1	4478	0.0	6802.0	4905	4478	99.0	HIGH (likely ortholog)	Ochro3194_1
632068	3483524	84.09	6210	867	34	822	6984	140	6275	0.0	9004.0	12937	13213	81.0	HIGH (likely ortholog)	Ochro3194_1
632072	3310508	96.311	21037	694	20	1	20966	1	21026	0.0	38330.0	21166	21030	99.0	HIGH (likely ortholog)	Ochro3194_1
632082	5377763	94.636	6600	293	7	735	7318	5039	11593	0.0	11173.0	7319	11593	99.0	HIGH (likely ortholog)	Ochro3194_1
632088	5022040	82.39	4009	667	20	6037	10029	72	4057	0.0	5892.0	20900	5017	86.0	HIGH (likely ortholog)	Ochro3194_1
632099	4829068	92.38	4344	147	18	1	4282	1	4222	0.0	7142.0	4283	4222	99.0	HIGH (likely ortholog)	Ochro3194_1
632232	5018013	85.548	4816	571	28	26	4797	28	4762	0.0	7113.0	4798	4762	99.0	HIGH (likely ortholog)	Ochro3194_1
631879	260	25.586	981	546	36	452	1386	447	1289	3.5299999999999995e-42	173.0	5875	3666	30.0	VERY LOW	Chrpa1_1
631889	10284	40.782	1714	848	47	1649	3292	1	1617	0.0	847.0	4454	3179	67.0	LOW (possible homolog)	Chrpa1_1
631892	10284	42.237	1681	818	42	150	1764	45	1638	0.0	892.0	7020	3179	92.0	LOW (possible homolog)	Chrpa1_1
632047	260	28.691	955	568	28	112	998	447	1356	1.0199999999999999e-74	279.0	2567	3666	42.0	VERY LOW	Chrpa1_1
632054	10284	41.691	1691	850	42	2738	4367	1	1616	0.0	941.0	4905	3179	73.0	LOW (possible homolog)	Chrpa1_1
632068	10284	41.837	1666	863	39	2932	4542	1	1615	0.0	892.0	12937	3179	89.0	LOW (possible homolog)	Chrpa1_1
632072	10284	40.979	1696	890	34	17791	19441	1	1630	0.0	978.0	21166	3179	93.0	LOW (possible homolog)	Chrpa1_1
632082	10284	42.28	1684	863	39	2860	4499	1	1619	0.0	972.0	7319	3179	81.0	LOW (possible homolog)	Chrpa1_1
632088	10284	41.569	1874	923	42	13192	14977	1	1790	0.0	1015.0	20900	3179	66.0	LOW (possible homolog)	Chrpa1_1
632099	10284	37.307	1879	1026	48	599	2411	1	1793	0.0	889.0	4283	3179	80.0	LOW (possible homolog)	Chrpa1_1
632232	10284	39.226	1680	893	37	2577	4215	37	1629	0.0	841.0	4798	3179	75.0	LOW (possible homolog)	Chrpa1_1
631879	393287	92.982	4332	145	13	1598	5874	722	4949	0.0	8141.0	5875	4949	84.0	HIGH (likely ortholog)	Gepoce1
631889	394838	96.343	1586	56	2	100	1684	30	1614	0.0	2942.0	4454	1642	55.0	MEDIUM (likely homolog)	Gepoce1
631892	395942	42.221	1639	821	40	149	1746	1394	2947	0.0	898.0	7020	4739	91.0	LOW (possible homolog)	Gepoce1
632047	373993	95.451	2484	77	3	13	2460	1543	4026	0.0	4746.0	2567	4098	95.0	HIGH (likely ortholog)	Gepoce1
632054	381273	80.891	3883	460	37	1100	4899	452	4135	0.0	5239.0	4905	4135	88.0	HIGH (likely ortholog)	Gepoce1
632068	379370	87.335	2124	141	12	7282	9394	1	2007	0.0	3397.0	12937	2012	54.0	MEDIUM (likely homolog)	Gepoce1
